,City,Country,Date,Humidity,Cloudiness,Lat,Long,Temp,WindSpeed
0,El Puerto de Santa María,ES,1624782280,77,75,36.5939,-6.233,73.51,8.05
1,Pavlivka,UA,1624782197,80,67,49.4414,28.4596,68.41,13.29
2,Avera,US,1624782470,97,96,33.194,-82.5271,75.07,4.92
3,Rikitea,PF,1624782207,78,7,-23.1203,-134.9692,74.25,11.86
4,Ushuaia,AR,1624782470,81,90,-54.8,-68.3,38.86,10.36
5,Albany,US,1624782471,90,88,42.6001,-73.9662,75.81,5.66
6,Hilo,US,1624782471,88,1,19.7297,-155.09,73.8,3.44
7,Port,CD,1624782395,42,2,-7.0349,29.7638,78.84,5.5
8,Tuatapere,NZ,1624782472,89,97,-46.1333,167.6833,45.82,5.48
9,Kapaa,US,1624782472,65,40,22.0752,-159.319,77.32,4.61
10,Moindou,NC,1624782472,70,96,-21.6924,165.677,69.75,6.64
11,Camacha,PT,1624782334,63,75,33.0833,-16.3333,65.16,9.22
12,Semnan,IR,1624782473,11,0,35.5729,53.3971,93.27,7.83
13,Saskylakh,RU,1624782473,36,100,71.9167,114.0833,56.77,3.96
14,Dingle,PH,1624782267,64,98,10.9995,122.6711,88.09,3.83
15,Sabang,ID,1624782474,69,62,5.8933,95.3214,83.41,15.28
16,Cape,CL,1624782222,85,5,-36.413,-71.9028,33.22,4.03
17,Thinadhoo,MV,1624782474,73,28,0.5333,72.9333,82.58,7.76
18,Susanville,US,1624782475,40,0,40.4163,-120.653,71.1,1.01
19,Chapais,CA,1624782475,99,100,49.7834,-74.8492,64.18,2.75
20,Bredasdorp,ZA,1624782476,58,100,-34.5322,20.0403,57.27,3.44
21,Mataura,NZ,1624782476,87,36,-46.1927,168.8643,45.48,5.7
22,Mount Abu,IN,1624782477,41,27,24.6,72.7,85.82,6.24
23,Brownwood,US,1624782477,83,97,31.7093,-98.9912,79.92,13.47
24,Busselton,AU,1624782477,81,89,-33.65,115.3333,57.04,24.11
25,Hammerfest,NO,1624782478,67,75,70.6634,23.6821,55.85,3.44
26,Jamestown,US,1624782297,76,1,42.097,-79.2353,76.59,5.01
27,Povenets,RU,1624782479,64,97,62.8487,34.8262,65.88,1.7
28,Tarko-Sale,RU,1624782480,34,51,64.9225,77.785,61.38,14.05
29,Mys,RU,1624782268,47,92,62.0589,48.6201,76.33,4.09
30,Zhaotong,CN,1624782481,68,84,27.3167,103.7167,76.33,4.29
31,Qaanaaq,GL,1624782203,91,97,77.484,-69.3632,36.46,3.69
32,Manta,EC,1624782481,88,90,-0.95,-80.7333,71.38,5.75
33,Kruisfontein,ZA,1624782482,48,99,-34.0033,24.7314,60.89,7.58
34,Carnarvon,AU,1624782482,64,90,-24.8667,113.6333,68.07,14.97
35,Vaini,TO,1624782483,78,40,-21.2,-175.2,71.76,10.36
36,Mar,ES,1624782232,96,75,43.4002,-4.0094,59.14,3.0
37,Castro,BR,1624782484,65,65,-24.7911,-50.0119,59.23,7.61
38,Hithadhoo,MV,1624782484,72,16,-0.6,73.0833,82.6,7.45
39,Iglesias,IT,1624782479,39,81,39.3114,8.535,78.22,1.54
40,Poum,NC,1624782485,78,100,-20.2333,164.0167,74.89,8.95
41,Severo-Kuril'sk,RU,1624782485,86,99,50.6789,156.125,46.72,15.75
42,Scottsbluff,US,1624782485,78,1,41.8666,-103.6672,58.78,7.0
43,Bluff,NZ,1624782235,85,92,-46.6,168.3333,45.81,19.26
44,Kifrī,IQ,1624782486,6,0,34.6959,44.9661,111.04,5.79
45,Punta,PH,1624782486,73,100,8.9897,125.34,83.1,2.24
46,Jiexiu,CN,1624782487,19,14,37.0244,111.9125,95.94,8.9
47,Norman,US,1624782291,93,90,35.2226,-97.4395,73.44,13.8
48,Geraldton,AU,1624782487,72,75,-28.7667,114.6,64.81,17.27
49,Atuona,PF,1624782488,69,11,-9.8,-139.0333,78.69,20.22
50,Arkadelphia,US,1624782488,97,75,34.1209,-93.0538,77.18,3.44
51,Havelock,US,1624782488,92,92,34.8791,-76.9013,78.78,4.88
52,Tiksi,RU,1624782258,84,84,71.6872,128.8694,36.68,8.57
53,Prado,BR,1624782489,65,95,-17.3411,-39.2208,69.98,5.73
54,Pevek,RU,1624782489,87,90,69.7008,170.3133,36.86,6.85
55,Aktau,KZ,1624782490,28,33,43.65,51.2,106.38,4.25
56,Esperance,AU,1624782490,43,99,-33.8667,121.9,60.64,20.15
